,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
109,34003-42,N,2869,2.0,9868.0,904.0,1435,935.0,718,1372.0,431,1803.0,287,2680.0,144,2705.0,115,2753.0,87,3602.0,58,4619.0,29,9868.0,0
110,34003-42,W,2006,25.0,9943.0,905.0,1003,943.0,502,1742.0,301,1805.0,201,2659.0,101,2691.0,81,2741.0,61,3577.0,41,4421.0,21,9943.0,0
111,34003-45,D,493,2.0,172810.0,2921.0,247,6288.0,124,9403.0,74,11264.0,50,15905.0,25,16446.0,20,19047.0,15,22906.0,10,30623.0,5,172810.0,0
112,34003-45,N,421,3.0,57580.0,3563.0,211,8184.0,106,13474.0,64,16209.0,43,22525.0,22,24339.0,17,26045.0,13,27012.0,9,29717.0,5,57580.0,0
113,34003-45,W,234,539.0,65223.0,4981.0,117,11675.0,59,18444.0,36,22471.0,24,27420.0,12,28377.0,10,31741.0,8,37265.0,5,42018.0,3,65223.0,0
114,34003-47,D,312,2.0,834898.0,2756.0,156,9958.0,78,20672.0,47,26308.0,32,33349.0,16,35214.0,13,37038.0,10,40757.0,7,48771.0,4,834898.0,0
115,34003-47,N,280,221.0,86498.0,4497.0,140,15524.0,70,20491.0,42,24034.0,28,30375.0,14,31195.0,12,34012.0,9,35108.0,6,63764.0,3,86498.0,0
116,34003-47,W,142,272.0,65922.0,9690.0,71,19110.0,36,26854.0,22,32603.0,15,40454.0,8,46114.0,6,46615.0,5,61361.0,3,64146.0,2,65922.0,0
117,34003-50,D,2006,-2.0,14374.0,907.0,1003,970.0,502,1791.0,301,1823.0,201,2701.0,101,2744.0,81,3601.0,61,4511.0,41,5638.0,21,14374.0,0
118,34003-50,N,2000,2.0,56138.0,914.0,1000,1792.0,500,2680.0,300,2750.0,200,4516.0,100,5371.0,80,5409.0,60,6301.0,40,8114.0,20,56138.0,0
119,34003-50,W,1206,175.0,17976.0,931.0,603,1846.0,302,2744.0,181,3675.0,121,5398.0,61,6249.0,49,6327.0,37,8025.0,25,9021.0,13,17976.0,0
120,34003-51,D,570,2.0,670996.0,1788.0,285,4540.0,143,8126.0,86,11722.0,57,18968.0,29,20689.0,23,22487.0,18,28847.0,12,38172.0,6,670996.0,0
121,34003-51,N,753,3.0,282655.0,1780.0,377,3594.0,189,5400.0,113,7202.0,76,11133.0,38,12582.0,31,13777.0,23,17123.0,16,21877.0,8,282655.0,0
122,34003-51,W,463,256.0,39924.0,1820.0,232,4800.0,116,8969.0,70,11658.0,47,16206.0,24,18024.0,19,19856.0,14,22522.0,10,30608.0,5,39924.0,0
123,34003-52,D,2076,2.0,14536.0,904.0,1038,946.0,519,1775.0,312,1813.0,208,2702.0,104,2724.0,84,3555.0,63,3665.0,42,5326.0,21,14536.0,0
124,34003-52,N,1458,2.0,27953.0,928.0,729,2670.0,365,3603.0,219,4527.0,146,7204.0,73,8079.0,59,8977.0,44,10071.0,30,12600.0,15,27953.0,0
125,34003-52,W,1247,34.0,16171.0,921.0,624,1811.0,312,2712.0,188,3608.0,125,4948.0,63,5408.0,50,6315.0,38,8107.0,25,9887.0,13,16171.0,0
126,34003-53,D,1,53255.0,53255.0,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,1,53255.0,0
127,34003-54,D,618,0.0,1716395.0,1745.0,309,3266.0,155,4721.0,93,6334.0,62,10880.0,31,14411.0,25,17937.0,19,31499.0,13,42304.0,7,1716395.0,0
128,34003-54,N,431,202.0,89085.0,1823.0,216,5369.0,108,9814.0,65,13534.0,44,20673.0,22,24233.0,18,30199.0,13,33257.0,9,39242.0,5,89085.0,0
129,34003-54,W,293,294.0,62096.0,2670.0,147,7146.0,74,11702.0,44,16294.0,30,22482.0,15,23352.0,12,24753.0,9,28804.0,6,39636.0,3,62096.0,0
130,34003-56,D,1485,2.0,47803.0,927.0,743,1793.0,372,2664.0,223,2843.0,149,4606.0,75,5435.0,60,6301.0,45,8051.0,30,10829.0,15,47803.0,0
131,34003-56,N,1051,1.0,35103.0,1119.0,526,3554.0,263,4635.0,158,7111.0,106,10757.0,53,11755.0,43,13521.0,32,15382.0,22,18837.0,11,35103.0,0
132,34003-56,W,700,95.0,33343.0,1622.0,350,3642.0,175,6271.0,105,8138.0,70,12477.0,35,12649.0,28,13922.0,21,16227.0,14,18711.0,7,33343.0,0
133,34003-58,D,679,2.0,68728.0,1780.0,340,4574.0,170,8981.0,102,12622.0,68,22547.0,34,24298.0,28,26111.0,21,29674.0,14,39588.0,7,68728.0,0
134,34003-58,N,571,5.0,39959.0,1757.0,286,4144.0,143,7224.0,86,10841.0,58,18957.0,29,20667.0,23,22568.0,18,27235.0,12,33372.0,6,39959.0,0
135,34003-58,W,348,0.0,79240.0,1788.0,174,5791.0,87,14099.0,53,19757.0,35,31546.0,18,34183.0,14,35575.0,11,41657.0,7,48587.0,4,79240.0,0
136,34003-59,D,398,7.0,40996.0,2685.0,199,8123.0,100,14397.0,60,20720.0,40,27421.0,20,30201.0,16,33250.0,12,35548.0,8,37829.0,4,40996.0,0
137,34003-59,N,507,5.0,57611.0,2686.0,254,8302.0,127,11375.0,77,14235.0,51,21184.0,26,22536.0,21,25172.0,16,29272.0,11,36430.0,6,57611.0,0
138,34003-59,W,272,0.0,66107.0,3586.0,136,9910.0,68,17084.0,41,23383.0,28,31557.0,14,36901.0,11,43414.0,9,48105.0,6,59206.0,3,66107.0,0
139,34003-57,D,634,2.0,50860.0,1995.0,317,5329.0,159,8107.0,96,10847.0,64,18951.0,32,21595.0,26,26929.0,20,33257.0,13,39618.0,7,50860.0,0
140,34003-57,N,379,382.0,40054.0,3618.0,190,8242.0,95,13478.0,57,16748.0,38,26987.0,19,27528.0,16,30184.0,12,34708.0,8,36913.0,4,40054.0,0
141,34003-57,W,209,371.0,60796.0,5856.0,105,15303.0,53,23407.0,32,27048.0,21,37820.0,11,40082.0,9,41313.0,7,44087.0,5,46326.0,3,60796.0,0
142,34003-61,D,2479,281.0,7194.0,900.0,1240,911.0,620,920.0,372,926.0,248,1784.0,124,1796.0,100,1804.0,75,1813.0,50,2693.0,25,7194.0,0
143,34003-61,N,3012,561.0,20597.0,901.0,1506,915.0,753,926.0,452,1026.0,302,1820.0,151,2682.0,121,2702.0,91,2799.0,61,3618.0,31,20597.0,0
144,34003-61,W,1983,268.0,9929.0,904.0,992,921.0,496,1775.0,298,1804.0,199,2685.0,100,2701.0,80,2714.0,60,3588.0,40,4488.0,20,9929.0,0
145,34003-63,D,659,2.0,461924.0,1768.0,330,3652.0,165,7225.0,99,9949.0,66,22596.0,33,27902.0,27,31275.0,20,33801.0,14,38243.0,7,461924.0,0
146,34003-63,N,362,173.0,33691.0,3586.0,181,8769.0,91,13995.0,55,17502.0,37,21526.0,19,22103.0,15,23345.0,11,24901.0,8,27271.0,4,33691.0,0
147,34003-63,W,255,320.0,68916.0,4028.0,128,12615.0,64,16225.0,39,21624.0,26,29698.0,13,30576.0,11,36052.0,8,37312.0,6,44112.0,3,68916.0,0
148,34003-64,D,1644,2.0,45010.0,913.0,822,1709.0,411,1839.0,247,2709.0,165,3692.0,83,4514.0,66,5421.0,50,7241.0,33,12641.0,17,45010.0,0
149,34003-64,N,1111,0.0,27972.0,943.0,556,2706.0,278,4529.0,167,6328.0,112,9910.0,56,11193.0,45,13526.0,34,16097.0,23,20726.0,12,27972.0,0
